ATU Classification Type,AT Classification Type,Thompson Motif
ATU 170 The fox eats his fellow-lodger,AT 170 Fox eats Fellow-lodger,K443.7. Fox eats his fellow-lodger: accuses another and demands damages.
,AT 171 Three Bears (proposed by Ashlimann),NA
ATU 173 Human and Animal Life Spans are Readjusted,"AT 173 Men, Animals and the Span of Life",A1321. Men and animals readjust span of life
ATU 175 The Tarbaby and the Rabbit,AT 175 Tarbaby and the Rabbit,K741. Capture by tarbaby.
ATU 178 The Faithful Animal Rashly Killed,AT 178 Killing the Animal That Has Saved Your Life,NA
ATU 178A Innocent Dog,AT 178A Llewellyn and His Dog Gellert,B331.2. Llewellyn and his dog.
ATU 179 What the bear whispered in his ear,AT 179 What the Bear Whispered,J1488. What the bear whispered in his ear.
ATU 200 The Dogs Certificate,AT 200 Why Dogs Dislike Cats,A2281.1. Cat loses dog's certificate: enmity between cats and dogs.
ATU 200A Dog Loses a Certificate,AT 200A Dog with the Letter Under His Tail,A2275.5.5. Dog loses his patent right; seeks it: why dogs look at one another under the tail.
ATU 200B Why Dogs Sniff One Another,AT 200B Dog with Pepper Under his Tail,A2232.8. Dog's embassy to Zeus chased forth; dogs seek ambassador: why dogs sniff each other under leg.
ATU 200C* Enmity between Hare and Dog,AT 200C* Why Dogs Chase Hares.,A2494.4.4. Enmity between dog and rabbit.
ATU 201 The Lean Dog Prefers Liberty to Abundant Food and a Chain,AT 201 Dog and the Wolf,L451.3. Wolf prefers liberty and hunger to dog's servitude and plenty.
ATU 202 Two Stubborn Goats,AT 202 Two Stubborn Goats,W167.1. Two stubborn goats meet each other on a bridge.
ATU 204 Animals in Peril at Sea,"204 Sheep, duck and cock in peril at sea",J1711.1. Animals helpless in sea-voyage together
ATU 206 Straw Threshed a second Time,206 Straw Threshed a second Time,J2362. Talkative animals incense master.
ATU 207 Rebellion of the Work Animals,207 Rebellion of the Work Animals,K1633. Cock's advice proves disastrous to himself
ATU 207 Donkey Induces Overworked Ox to Feign Sickness,AT 207A Ass Persuades the Ox to Play Sick,NA
ATU 207B Hard-hearted Horse and Donkey,AT 207B Hard-Hearted Horse and the Ass,J2413.1. Ass tries to caress his master like the dog
ATU 207C Animals Ring Bell and Demand Justice,AT 207C Bell of Justice,B271.3. Animals ring bell and demand justice.
"ATU 210 Rooster, Hen, Duck, Pin, and Needle on a Journey",AT 210 Traveling Animals and the Wicked Man,K1161. Animals hidden in various parts of a house attack owner with their characteristic powers and kill him when he enters.
ATU 211 Two Donkeys and their Loads,AT 211 Ass with His Load of Salt and Sponges,J1612. The lazy ass repaid in kind.
ATU 212 The Lying Goat,AT 212 Goat that Lied,K1151. The lying goat.
ATU 214 Donkey Tries to Caress his Master,AT 214 Ass that Behaved Like a Lap Dog,J2413.1. Ass tries to caress his master like the dog
ATU 214A Singing Donkey and Dancing Camel,AT 214A Singing Ass and Dancing Camel,J2133.1. Camel with ass on his back dances.
ATU 214B Donkey in the Lion's Skin,AT 214B Ass in a Lion's Skin,J951.1. Ass in lion's skin unmasked when he raises his voice.
ATU 221 The Election of King of Brids,AT 221 Wren Becomes King of the Birds,B236.1. Election of king of birds.
ATU 222 War between Birds (Insects) and Quadrupeds,AT 222 War Between Birds and Beasts,B261. War of birds and quadrupeds.
ATU 222A Bat in the War Between Birds and Quadrupeds,AT 222A Bat in the War Between Birds and Beasts,B261.1. Bat in war of birds and quadrupeds
ATU 225 Crane Teaches the Fox to Fly,AT 225 Ground Animal Learns to Fly,K1041. Borrowed feathers.
ATU 225A Tortoise Lets Itself be Carried by Birds,AT 225A Tortoise Flies to a New Home,J2357. Tortoise speaks and loses his hold on the stick.
ATU 227 Geese ask for Respite for Prayer,AT 227 Geese's Eternal Prayer,K551.1. Respite from death granted until prayer is finished.
ATU 228 A Little Bird Tries to be Bigger,AT 228 Cricket in the Elephants Ear,L315.1. Bird flies into large animal's ear and kills him.
