ATU Classification Type,AT Classification Type,Thompson Motif
,,K2213.2. †K2213.2. Faithless wife and paramour throw hero overboard.
,,S142. †S142. Person thrown into the water and abandoned.
,,P361. †P361. Faithful servant.
,,E105. †E105. Resuscitation by herbs (leaves).
ATU 613 The Two Travelers,AT 613 The Two Travelers: Truth and Falsehood,N61. †N61. Wager that falsehood is better than truth.
,,K451.1. †K451.1. Unjust umpire decides a religious dispute
,,N92. †N92. Wager to win or lose according to whether jackal howls or ass brays before game is finished.
,,N2.3.3. †N2.3.3. Eyes wagered.
,,M225. †M225. Eyes exchanged for food.
,,F1045. †F1045. Night spent in tree.
,,N451.1. †N451.1. Secrets of animals (demons) accidentally overheard from tree (bridge) hiding place.
,,D1505.5. †D1505.5. Magic water restores sight.
,,D2064.1. †D2064.1. Magic sickness because girl has thrown away her consecrated wafer.
,,F933.2. †F933.2. Dry spring restored by removal of certain stone.
,,H346. †H346. Princess given to man who can heal her.
,,"N471. †N471. Foolish attempt of second man to overhear secrets (from animals, demons etc.)."
ATU 621 Louse-Skin,AT 621 The Louse-Skin (now ATU 857),B873.1. †B873.1. Giant louse.
,,F983.2. †F983.2. Louse fattened.
,,H551. †H551. Princess offered to man who can out-riddle her.
,,H522.1. †H522.1. Test: guessing origin of certain skin.
,,H573.3. †H573.3. Riddle solved by listening to propounder talk in his sleep.
ATU 650A Strong John,AT 650A Young Giant,B631. †B631. Human offspring from marriage to animal.
,,F611.1.1. †F611.1.1. Strong man son of bear who has stolen his mother.
,,F611.2.1. †F611.2.1. Strong hero suckled by animal.
,,F611.3.1. †F611.3.1. Strong hero practices uprooting trees.
,,F612.1. †F612.1. Strong hero sent from home because of enormous appetite.
,,K1411. †K1411. Plowing the field: horse and harness destroyed.
,,K1421. †K1421. Clearing land: axe broken
,,H931. †H931. Tasks assigned in order to get rid of hero.
,,F615.2.3. †F615.2.3. Strong man sent for wild horses: brings them back.
,,F615.3.1. †F615.3.1. Strong hero attacked with millstone puts it on as collar.
,,F615.1. †F615.1. Strong man sent to devil's mill: drives devils to master's house.
,,F615. †F615. Strong man evades death.
ATU 650C Youth Who Bathed in Blood of a Dragon,AT 650C Siegfried Slays the Dragon,D1846.4. †D1846.4. Invulnerability through bathing in dragon's blood.
ATU 652 The Prince Whose Wishes Always Come True,AT 652 The Boy Whose Wishes Always Come True,N811. †N811. Supernatural godfather.
,,D1761.0.1. †D1761.0.1. Wishes granted without limit.
,,K2250. †K2250. Treacherous servants and workmen.
,,K2155.1. †K2155.1. Blood smeared on innocent person brings accusation of murder.
,,Q455.1. †Q455.1. Walling up as punishment for murder of children.
,,R131.8.5. †R131.8.5. Forester rescues abandoned child.
,,N856.1. †N856.1. Forester as foster father.
,,T52.1. †T52.1. Prince buys twig (flower) (enchanted girl) from her mother.
,,D141. †D141. Transformation: man to dog.
,,D212.1. †D212.1. Transformation: man (woman) to carnation.
,,D630. †D630. Transformation and disenchantment at will.
ATU 653 The Four Skillful Brothers,AT 653 The Skillful Brothers,P251.6.2. †P251.6.2. Four brothers
,,F660.1. †F660.1. Brothers acquire extraordinary skill.
,,R166. †R166. Brothers having extraordinary skill rescue princess.
,,R111.1.3. †R111.1.3. Rescue of princess (maiden) from dragon.
,,F662.2. †F662.2. Skillful tailor sews together scattered planks in capsizing boat.
,,H621.2. †H621.2. Girl rescued by skillful companions: to whom does she belong?
,,R111.7. †R111.7. Joint rescuers quarrel over rescued princess.
ATU 653A Rarest Thing in the World,AT 653A Rarest Gift,T68.1. †T68.1. Princess offered as prize to rescuer.
,,D1323.15. †D1323.15. Magic clairvoyant telescope
,,D1520.19. †D1520.19. Magic transportation by carpet.
,,D1500.1.5.1. †D1500.1.5.1. Magic healing apple.
,,R111.7. †R111.7. Joint rescuers quarrel over rescued princess.
ATU 654 The Three Agile Brothers,AT 654 Which Brother hss the Best Skill?,F660.1. †F660.1. Brothers acquire extraordinary skill.
,,F660.1. †F660.1. Brothers acquire extraordinary skill.
,,F663.1. †F663.1. Skillful smith shoes running horse.
,,F665.1. †F665.1. Skillful barber shaves running hare.
,,F667.1. †F667.1. Skillful fencer keeps sword dry in rain.
ATU 655 The Wise Brothers,AT 655 Three Cleverr Brothers,J1661.1.1. †J1661.1.1. Deduction: the one-eyed camel.
,,F647.5.1. †F647.5.1. Marvelous sensitiveness: meat is dog's flesh.
,,F647.1. †F647.1. Marvelous sensitiveness: meat (wine) tastes of corpse.
,,J1661.1.2. †J1661.1.2. Deduction: the king is a bastard.
ATU 660 The Three Doctors,AT 660 The Three Doctors,H504. †H504. Test of skill in handiwork.
,,F668.1. †F668.1. Skillful surgeon removes and replaces vital organs.
,,E781.3. †E781.3. Eyes borrowed by animal.
,,E782.1.1. †E782.1.1. Substituted hand.
,,E787. †E787. Stomach borrowed by animal.
,,E780.2. †E780.2. Animal bodily members transferred to person or other animal retains animal powers and habits.
ATU 665 The Man Who Flew like a Bird and Swam Like a Fish,"AT 665 The Man Who Could Fly Like a Bird, Swim Like a Fish, and Run Like a Rabbit",D630. †D630. Transformation and disenchantment at will.
,,D150. †D150. Transformation: man to bird
,,D170. †D170. Transformation: man to fish.
,,D117.2. †D117.2. Transformation: man to hare (rabbit).
,,Q42.1. †Q42.1. Spendthrift knight.
,,D1081. †D1081. Magic sword.
,,D1470.1.15. †D1470.1.15. Magic wishing-ring.
,,D641. †D641. Transformation to reach difficult place.
,,K1931.3. †K1931.3. Impostors kill hero
,,B515. †B515. Resuscitation by animals.
,,N681. †N681. Husband (lover) arrives home just as wife (mistress) is to marry another.
,,H78.2. †H78.2. Identification by feather taken from hero when he was transformed to bird.
ATU 666* Hero and Leander,,T83. †T83. Hero and Leander.
ATU 670 Man Who Understands Animal Languages,AT 670 Animals Teach Man How to Handle is Wife,B350. †B350. Grateful animals.
,,B491.1. †B491.1. Helpful serpent.
,,B216. †B216. Knowledge of animal languages
,,C425. †C425. Tabu: revealing knowledge of animal languages.
,,N456. †N456. Enigmatical smile (laugh) reveals secret knowledge.
,,T253.1. †T253.1. Nagging wife drives husband to prepare for suicide.
,,N451. †N451. Secrets overheard from animal (demon) conversation.
,,T252.2. †T252.2. Cock shows browbeaten husband how to rule his wife.
ATU 671 The Three Languages,AT 671 Boy who Learned the Languages of Animals,B215.2. †B215.2. Dog language.
,,B215.1. †B215.1. Bird language.
,,B215.4. †B215.4. Frog language.
,,K512.2. †K512.2. Compassionate executioner: substituted heart.
,,H171.2. †H171.2. Bird indicates election of king (pope).
ATU 672 Serpent's Crown,AT 672 Gift of the King of Snakes,D1011.3.1. †D1011.3.1. Magic serpent's crown
,,B244.1. †B244.1. King of serpents (snakes).
,,B165.1.2. †B165.1.2. Animal languages from stolen serpent's crown.
,,B112. †B112. Treasure-producing serpent's crown.
,,B765.2. †B765.2. Snake lays aside his crown to bathe
,,E714.2. †E714.2. Serpent's life in its gold crown.
,,B765.6. †B765.6. Snake eats milk and bread with child.
,,B112. †B112. Treasure-producing serpent's crown
ATU 672 Serpent's Crown,AT 672B Toad's Crown (now ATU 672),ccccc
AT 673 The White Snake's Flesh,AT 673 The White Snake's Meat,B217.1.1. †B217.1.1. Animal languages learned from eating serpent.
,,N451. †N451. Secrets overheard from animal (demon) conversation.
ATU 675 The Lazy Boy,AT 675 The Simpleton Whose Wishes Always Came True,L114.1. †L114.1. Lazy hero.
,,B375.1. †B375.1. Fish returned to water: grateful.
,,D1761.0.1. †D1761.0.1. Wishes granted without limit.
,,D1601. †D1601. Object labors automatically.
,,D1523.1. †D1523.1. Self-propelling wagon
,,T513. †T513. Conception from wish.
,,H486. †H486. Test of paternity
,,H481.1. †H481.1. Infant indicates his unknown father by handing him an apple.
,,S141. †S141. Exposure in boat.
,,D1131.1. †D1131.1. Castle produced by magic.
,,L175. †L175. Lowly successful hero invites king and humbles him.
ATU 954 The Forty Thieves,AT 676 Open Sesame! (now ATU 954),D1552.2. †D1552.2. Mountain opens to magic formula (Open Sesame).
,,N455.3. †N455.3. Secret formula for opening treasure mountain overheard from robbers (Open Sesame).
,,N512. †N512. Treasure in underground chamber (cavern).
,,F721.4. †F721.4. Underground treasure chambers.
,,N478. †N478. Secret wealth betrayed by money left in borrowed money-scales.
,,"N471. †N471. Foolish attempt of second man to overhear secrets (from animals, demons etc.)"
,,K312. †K312. Thieves hidden in oil casks.
ATU 681 The Relativity of Time,AT 681 The Sultan's Bath Shows him a New Life,D2012.1. †D2012.1. King in the bath; years of experience in a moment
ATU 700 Thumbling,AT 700 Tom Thumb,F535.1. †F535.1. Thumbling.
,,F535.1.1.1. †F535.1.1.1. Thumbling drives wagon by sitting in horse's ear.
,,F535.1.1.9. †F535.1.1.9. Thumbling sold as freak
,,F535.1.1.11. †F535.1.1.11. Thumbling as accomplice to robbers.
,,F911.3.1. †F911.3.1. Thumbling swallowed by animals.
,,F535.1.1.8. †F535.1.1.8. Thumbling imprisoned in a sausage
,,F911.3.1. †F911.3.1. Thumbling swallowed by animals.
,,F913. †F913. Victims rescued from swallower's belly.
ATU 701 The Giant's Toy,AT 701 The Giant's Toy,F531.5.3. †F531.5.3. Giant's toy.
ATU 704 The Princess and the Pea,AT 704 The Princess and the Pea,H41.1. †H41.1. Princess on the pea
ATU 705A Born from Fruit (Fish),AT 705 Miraculous Birth ( now ATU 705A),T578. †T578. Pregnant man.
,,T511.5.1. †T511.5.1. Conception from eating fish.
,,T541.16. †T541.16. Birth from knee.
,,R13.3. †R13.3. Person carried off by bird.
,,N711. †N711. King (prince) accidentally finds maiden and marries her.
,,S410. †S410. Persecuted wife.
,,T412. †T412. Mother-son incest.
ATU 706 The Maiden Without Hands,AT 706 The Girl Without Hands,Q451.1. †Q451.1. Hands cut off as punishment.
,,S322.1.2. †S322.1.2. Father casts daughter forth when she will not marry him.
,,N711. †N711. King (prince) accidentally finds maiden and marries her.
,,K2117. †K2117. Calumniated wife: substituted letter (falsified message).
,,S451. †S451. Outcast wife at last united with husband and children.
ATU 706B The Chaste Nun,AT 706B The Girl Who Gave her Hands to her Brother,"T327.1. †T327.1. Maiden sends to her lecherous lover (brother) her eyes (hands, breasts) which he has admired."
ATU 707 The Three Golden Children,"AT 707 Dancing Water, Singing Apple, and Speaking Bird",N201. †N201. Wish for exalted husband realized.
,,H71.2. †H71.2. Gold (silver) hairs as sign of royalty.
,,H71.3. †H71.3. Pearls from hair as sign of royalty.
,,H71.1. †H71.1. Star on forehead as sign of royalty.
,,L162. †L162. Lowly heroine marries prince (king).
,,K2115. †K2115. Animal-birth slander.
,,K2110.1. †K2110.1. Calumniated wife.
,,S301. †S301. Children abandoned (exposed).
,,R131.2. †R131.2. Miller rescues abandoned child.
,,H1381.2.2.1. †H1381.2.2.1. Son seeks unknown father.
ATU 708 The Wonder Child,AT 708 The Wonder-Child,S441. †S441. Cast-off wife and child abandoned in forest.
,,D1717.1. †D1717.1. Magic power of monster child.
,,D741. †D741. Disenchantment of monster when prince promises to marry the monster's mother.
ATU 709 Snow White,AT 709 Snow White,"Z65.1. †Z65.1. Red as blood, white as snow"
,,D1323.1. †D1323.1. Magic clairvoyant mirror.
,,D1311.2. †D1311.2. Mirror answers questions.
,,L55. †L55. Stepdaughter heroine.
,,M312.4. †M312.4. Prophecy: superb beauty for girl.
,,S322.2. †S322.2. Jealous mother casts daughter forth.
,,K512.2. †K512.2. Compassionate executioner: substituted heart.
,,N831.1. †N831.1. Mysterious housekeeper.
,,F451.5.1.2. †F451.5.1.2. Dwarfs adopt girl as sister.
,,D1364.9. †D1364.9. Comb causes magic sleep
,,D1364.16. †D1364.16. Hairpin causes magic sleep.
,,D1364.4.1. †D1364.4.1. Apple causes magic sleep.
,,S111.4. †S111.4. Murder with poisoned apple.
,,S111.2. †S111.2. Murder with poisoned lace
,,F852.1. †F852.1. Glass coffin.
,,E21.1. †E21.1. Resuscitation by removal of poisoned apple.
,,Q414.4. †Q414.4. Punishment: dancing to death in red-hot shoes.
ATU 710 Our Lady's Child,AT 710 Our Lady's Child,S211. †S211. Child sold (promised) to devil (ogre).
,,S240. †S240. Children unwittingly promised (sold).
,,V271. †V271. Virgin Mary as foster mother.
,,C611. †C611. Forbidden chamber.
,,C911. †C911. Golden finger as sign of opening forbidden chamber
,,C912. †C912. Hair turns to gold as punishment in forbidden chamber.
,,J213. †J213. Choice: loss of beauty or speech.
,,Q451.3. †Q451.3. Loss of speech as punishment.
,,C944. †C944. Dumbness as punishment for breaking tabu.
,,N711.1. †N711.1. King (prince) finds maiden in woods (tree) and marries her.
,,G261. †G261. Witch steals children.
,,K2116.1.1. †K2116.1.1. Innocent woman accused of killing her new-born children.
,,D2025.1. †D2025.1. Speech magically recovered on execution stake.
,,H215. †H215. Magic manifestation at execution proves innocence.
ATU 711 The Beautiful and Ugly Twin Sisters,AT 711 The Beautiful and Ugly Twin,T548.2. †T548.2. Magic rites for obtaining a child.
,,C152. †C152. Tabus during pregnancy.
,,T551.3. †T551.3. Child born with animal head
,,L145.1. †L145.1. Ugly sister helps pretty one.
,,D732. †D732. Loathly Lady
,,D1860. †D1860. Magic beautification
ATU 712 Crescentia,AT 712 The Slandered Wife,K2110.1. †K2110.1. Calumniated wife.
,,K2112. †K2112. Woman slandered as adulteress (prostitute).
,,K2116.1.1.1. †K2116.1.1.1. Innocent woman accused of eating her new-born children.
,,H151.8. †H151.8. Husband attracted by wife's power of healing: recognition follows
,,S451. †S451. Outcast wife at last united with husband and children
ATU 715 Demi-cock,AT 715 Half-Chick,B171.1. †B171.1. Demi-coq
,,B435.1. †B435.1. Helpful fox.
,,F601.7. †F601.7. Animals as extraordinary companions.
,,D915.2. †D915.2. River contained under cock's wings.
,,D1382.8. †D1382.8. Magic stream quenches fire.
,,K481. †K481. Demi-coq by means of his magic animals and magic water collects money.
ATU 720 The Juniper Tree,"AT 720 My Mother Killed Me, My Father Ate Me",S121. †S121. Murder by slamming down chest-lid.
,,G61. †G61. Relative's flesh eaten unwittingly.
,,E607.1. †E607.1. Bones of dead collected and buried.
,,Q412. †Q412. Punishment: millstone dropped on guilty person.
,,E610.1.1. †E610.1.1. Reincarnation: boy to bird to boy.
ATU 725 Prophecy of Future Sovereignty,AT 725 The Boy Who Wouldn't Tell His Dreams,M312.0.1. †M312.0.1. Dream of future greatness.
,,D1812.3.3. †D1812.3.3. Future revealed in dream.
,,L425. †L425. Dream (prophecy) of future greatness causes banishment (imprisonment).
,,H551. †H551. Princess offered to man who can out-riddle her.
ATU 726 The Three Old Men,AT 726 The Oldest Man,F571.2. †F571.2. Sending to the older.
ATU 729 The Merman's Golden Axe,"AT 729 The Ax, Lost in the River",Q3.1. †Q3.1. Woodsman and the gold axe.
ATU 735 The Rich Man's and the Poors Man's Fortune,,N181. †N181. Fortunes of the rich man and of the poor man
ATU 735A Bad Luck Imprisoned,"AT 735A Bad Luck, Imprisoned and Released",N112. †N112. Bad luck personified.
,,N112.1. †N112.1. Bad luck put into a sack
ATU 736A Ring of Polycrates,AT 736A The Ring in the Fish,N211.1. †N211.1. Lost ring found in fish.
ATU 737 Who Will be her Future Husband,AT 737 Conjuring Up One's Future Husband,D1825.1. †D1825.1. Second sight.
ATU 745A The Predestined Treasure,AT 745A Wealth Finds Its Predestined Owner,N212. †N212. Money cannot be kept from where it is destined to go.
